island_identification_code,island,station_name,species_name,survey_year,flowering_date,day
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2006,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2007,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2008,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2009,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2010,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2011,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2012,NA,NA
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2013,18-mai,138
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2014,19-mai,139
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2015,27-mai,147
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2016,20-mai,140
FANT,du Fantôme,Fantôme 10,Arctostaphylos.uva-ursi,2017,17-juin,168
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2006,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2007,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2008,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2009,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2010,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2011,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2012,NA,NA
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2013,22-mai,142
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2014,31-mai,151
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2015,31-mai,151
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2016,21-mai,141
FANT,du Fantôme,Fantôme 11,Arctostaphylos.uva-ursi,2017,00-janv,NA
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2006,16-mai,136
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2007,29-mai,149
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2008,25-mai,145
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2009,26-mai,146
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2010,21-mai,141
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2011,00-janv,NA
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2012,22-mai,142
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2013,24-mai,144
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2014,02-juin,153
FANT,du Fantôme,Fantôme 2,Arctostaphylos.uva-ursi,2015,06-juin,157
