date,avg_temperature,avg_relative_humidity
31/12/2017,-5.8,89.5
30/12/2017,-8.35,82
29/12/2017,-10.8,76.5
28/12/2017,-8.35,88.5
27/12/2017,-11.8,91
26/12/2017,-13,90
25/12/2017,-19.45,80
24/12/2017,-10.55,90
23/12/2017,-14.14,70.5
22/12/2017,-15.55,64
21/12/2017,-7.35,64
20/12/2017,-5.2,84
19/12/2017,-13.15,88.5
18/12/2017,-16.95,73.5
17/12/2017,-13.75,72.5
16/12/2017,-13.55,87.5
15/12/2017,-11.2,91.5
14/12/2017,-7.55,85.5
13/12/2017,-2.8,94
12/12/2017,-16.05,79
11/12/2017,-15.9,75
10/12/2017,-6.75,93
9/12/2017,-6.35,83.5
8/12/2017,-5.35,77
7/12/2017,-1.74,85.5
6/12/2017,1.25,100
5/12/2017,-4.25,90.5
4/12/2017,-4.35,77.5
3/12/2017,-4.25,75.5
2/12/2017,-1.6,82.5
1/12/2017,-0.55,83.5
30/11/2017,-5.6,77.5
29/11/2017,-2.85,89.5
28/11/2017,-6.44,68
27/11/2017,-7.5,72
26/11/2017,-2.1,90
25/11/2017,-1.35,89.5
24/11/2017,-5.25,67
23/11/2017,-0.84,85.5
22/11/2017,-1.55,92.5
21/11/2017,-4.09,71
20/11/2017,-0.64,89.5
19/11/2017,0.25,96.5
18/11/2017,0.6,92
17/11/2017,0.44,100
16/11/2017,-1.55,86
15/11/2017,-7,82
14/11/2017,-5.6,70
13/11/2017,-5.4,80
12/11/2017,-4.34,73.5
11/11/2017,-3.2,74.5
10/11/2017,-0.6,86
9/11/2017,-0.1,73.5
8/11/2017,-3.8,74
7/11/2017,-1.75,80.5
6/11/2017,3.15,97
5/11/2017,-1.4,74
4/11/2017,-0.25,70
3/11/2017,6.7,99.5
2/11/2017,0.59,85.5
1/11/2017,2.44,72
31/10/2017,7.25,77
30/10/2017,8.94,95
29/10/2017,6.05,89.5
28/10/2017,3.85,78.5
27/10/2017,7.94,92
26/10/2017,13.5,91
25/10/2017,11.6,88
24/10/2017,4.59,76.5
23/10/2017,3.95,78.5
22/10/2017,-0.05,71
21/10/2017,2.7,63.5
20/10/2017,6.75,76
19/10/2017,4.65,81
18/10/2017,4.15,83
17/10/2017,2.75,65
16/10/2017,3.95,75.5
15/10/2017,1.85,82.5
14/10/2017,6.25,75.5
13/10/2017,2.85,73
12/10/2017,3.74,64
